,HAR,HAR-X,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,0.0,-0.4208363889765391,2.343481747058936,0.11141521818638699,-1.790858284295142,-1.0377292857891982,-0.9992184310509129,-1.1400081129397552,0.08098751872591237
HAR-X,0.4208363889765391,0.0,2.945674553069602,1.3238348053843927,-0.9242546351586939,-0.5467215712097421,-0.8162027977814259,-1.111221611295952,0.3123188691786844
LogHAR,-2.343481747058936,-2.945674553069602,0.0,-3.6892283288579173,-4.2994020687760095,-3.7597299569070333,-1.7068299190418819,-1.239516316022008,-2.3007689671078464
HARQ,-0.11141521818638699,-1.3238348053843927,3.6892283288579173,0.0,-1.8493014702745587,-1.583149203826702,-0.9856708733588198,-1.1339366024274045,0.012610533886267643
Lasso,1.790858284295142,0.9242546351586939,4.2994020687760095,1.8493014702745587,0.0,1.7089085203698102,-0.5797159173756776,-1.0787118401524773,1.3147258996575217
ElasticNet,1.0377292857891982,0.5467215712097421,3.7597299569070333,1.583149203826702,-1.7089085203698102,0.0,-0.7145721209025484,-1.0948479371155575,0.8072370507735623
RF,0.9992184310509129,0.8162027977814259,1.7068299190418819,0.9856708733588198,0.5797159173756776,0.7145721209025484,0.0,-1.1419801795488123,0.9906917496643276
GB,1.1400081129397552,1.111221611295952,1.239516316022008,1.1339366024274045,1.0787118401524773,1.0948479371155575,1.1419801795488123,0.0,1.1384313206049634
NN_2_e10,-0.08098751872591237,-0.3123188691786844,2.3007689671078464,-0.012610533886267643,-1.3147258996575217,-0.8072370507735623,-0.9906917496643276,-1.1384313206049634,0.0
