lag,h1_HAR,h1_RF,h1_NN_2_e10,h22_HAR,h22_RF,h22_NN_2_e10
0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9307517820008271,0.9691983693217914,0.929399058416232,0.8494294270061732,0.9800662760703275,0.9289842379786319
2,0.9000409936478717,0.9369913316808348,0.8889017519580583,0.8351948705950808,0.9692847413142023,0.904940415562297
3,0.8471381400800598,0.9030924239990347,0.8561612771881619,0.7906917114595114,0.9551839465589259,0.8722168464166382
4,0.770575585513106,0.857866391409039,0.7831319650959795,0.7098828410811208,0.9357732310885857,0.8470376790197719
5,0.6946716018366147,0.8108551029630578,0.7190343692561366,0.6582611079506301,0.9146645755454189,0.8238715558068147
6,0.612317993125089,0.7635531044249779,0.6613080147989887,0.5691199782997731,0.8927304498368378,0.8089710762014686
7,0.5458190562319304,0.7135084929383355,0.6019050488040694,0.5212410152955803,0.8666057847500462,0.7998816561528747
8,0.4730223186464132,0.6670574312517674,0.5416572110044275,0.4452855908957112,0.8369492020627026,0.7889937190837997
9,0.4366497858260821,0.6274482113821437,0.516424493903981,0.44285813438431587,0.808387415310652,0.7778998936429314
10,0.37800218733744706,0.5794029655495118,0.4684225184729647,0.37895013102145636,0.7778908853385914,0.7631068620112024
11,0.33604458777531054,0.5355568069491974,0.4249579268560759,0.33721977211092247,0.7463617878049175,0.7500285539589733
12,0.3121486989015728,0.49832509472982317,0.4013480271443728,0.33318781148305765,0.7131915113078127,0.7391371593540764
13,0.28202329322574426,0.45944346712573375,0.36585761328051775,0.3015293978733861,0.6842163935229515,0.7265637883685864
14,0.2529451954894905,0.4241587092942593,0.33565884737687957,0.27561921673849976,0.6501395043075079,0.7178961910674706
15,0.23385367714522698,0.392034529517413,0.30549762275320147,0.2642515841532192,0.6188864988654998,0.7087394006612487
16,0.20965418673459582,0.3613960097270712,0.27551631626025946,0.2349022325355592,0.5901349749485693,0.7005187772681869
17,0.18894881892511145,0.3353551500430978,0.24620298249578962,0.21829336688399498,0.5571384145253006,0.6935702541063625
18,0.16915752801973005,0.3122803389676287,0.2268043526491927,0.19755078867419829,0.5296563668446945,0.6838705059314769
19,0.14891792492451417,0.2875350957687416,0.20341191751513366,0.17608676061509804,0.5006808503448608,0.6757044078562419
20,0.13330707665279043,0.26615773176772417,0.18635521882626724,0.1634979992008137,0.4756564067610278,0.6636334495762303
21,0.11319258986295778,0.24515430050466092,0.17392924335818097,0.13559367056927613,0.4517809562920351,0.6576663448743603
22,0.10403970250047444,0.22375925106137887,0.1578210140166916,0.13104855867163728,0.4305151978102478,0.6447137868506397
23,0.0855470731168582,0.2065822520634917,0.1440351471870322,0.1019367531657119,0.40969602579195924,0.6386615840658206
24,0.08009545386739907,0.18851039421189533,0.13767402056217437,0.10139772713325235,0.3899320716375985,0.6299160276563226
25,0.07245159479160139,0.17532002151601678,0.1276788625082511,0.09200373531306663,0.3719839453967258,0.6259690819711604
26,0.06675191306308133,0.16199921651384516,0.11569783154204737,0.08418149873505623,0.3535030187806434,0.6201212086854665
27,0.06257263672223635,0.15207224790540905,0.1070193348092391,0.07925984831805417,0.33836178843690207,0.6144142085364722
28,0.05869855529260556,0.14177581201016043,0.09875933941699602,0.07079173601497289,0.3225373886873256,0.6070609834225401
29,0.05971356124757312,0.13690399110809792,0.09348270250627894,0.07564243458739678,0.31066188164292596,0.6053379841960382
30,0.054869251377755106,0.13067082259322813,0.0889678987439033,0.06602719131074565,0.29717974647657047,0.5989376866062589
31,0.054648995434639615,0.12583433946830044,0.08346914205403355,0.0666585166443081,0.28564771179766846,0.5932687590660403
32,0.05209571781239261,0.12015883717526427,0.07824788028613555,0.06329521715747653,0.27398685264827427,0.588891287948334
33,0.04944099033362818,0.11298811073552907,0.07663153441180044,0.05847787406005825,0.2645767571821632,0.5864700240946388
34,0.047124797419613354,0.10877312420888174,0.07460542827369615,0.05508673110278899,0.2561981545414844,0.5815553971515475
35,0.04637810136864294,0.10250581662124164,0.07184567786807272,0.053636320211118686,0.2472207233182579,0.5772771098994454
36,0.04323593993743039,0.09775650441220951,0.06853510431826296,0.046747039897577364,0.2415328493490374,0.5759138193733043
37,0.04472971575183247,0.09367912293391192,0.06518634829477339,0.049437453824460985,0.23224079850286936,0.5666440502995996
38,0.046835526755568145,0.08979519049592578,0.0638751630240903,0.05204672424990407,0.22480425179204008,0.5597350028230612
39,0.048571950124658834,0.0869002966603673,0.06014670709724731,0.05330501952347274,0.21759422386882973,0.5487584895838759
40,0.049690982022479145,0.08423553302006456,0.057119008456392124,0.05191646509140532,0.21132488772113772,0.5408620587737865
41,0.05192210535456913,0.08292459886476525,0.054891045263691936,0.054936514201563376,0.20459918490693932,0.5335120302598504
42,0.05355674284348628,0.0806074564217851,0.05262017233111534,0.0570992702439579,0.19939135218283766,0.5263319494779904
43,0.053480330130514335,0.07904512655490638,0.05147160243942811,0.055979047654880126,0.1945695631158523,0.5225637457517829
44,0.05475582522616305,0.07599903857469109,0.04950710260963798,0.06039632839791949,0.18852147757487592,0.5123817811067591
45,0.04890044814945325,0.073086034118477,0.046049527797704784,0.04792664115860918,0.1837613853591613,0.5078956655444146
46,0.048430248053796955,0.0716764779207485,0.04456563643335726,0.04985565094077708,0.18011993755060077,0.4987019128301556
47,0.04780650594831918,0.06938524644212174,0.04263262771603023,0.05121373910261684,0.17618193682054237,0.49629987219413024
48,0.04378481852028906,0.06715759707208382,0.039741672628869844,0.04372507041586861,0.17023056567557696,0.4878309458024015
49,0.04347757062438955,0.06739292372302474,0.03803105369075076,0.04512193355807263,0.16713606679279025,0.4832065654133484
50,0.042658824821878466,0.06826719611094001,0.03653673176081431,0.0421558570655545,0.1622161737378755,0.4806326485298317
