ticker,info_set,model,n_test,test_mse,rel_mse_to_HAR
AAPL,M_HAR,HAR,441,1.3531300996941958e-08,1.0
AAPL,M_HAR,LogHAR,441,1.096608032145814e-08,0.8104232049775885
AAPL,M_HAR,HARQ,441,1.313814486842316e-08,0.9709446912305292
AAPL,M_HAR,Lasso,441,1.3984231297475905e-08,1.0334727828932568
AAPL,M_HAR,ElasticNet,441,1.4048594954344822e-08,1.0382294324484964
AAPL,M_HAR,RF,441,2.6039941330892582e-08,1.9244225914993351
AAPL,M_HAR,GB,441,2.0603886661064022e-08,1.5226833447663644
AAPL,M_HAR,NN_2_e10,441,1.1902776880653828e-08,0.8796476320602008
AAPL,M_ALL,HAR,441,1.3531300996941958e-08,1.0
AAPL,M_ALL,HAR-X,441,1.3789897476677567e-08,1.0191109842131256
AAPL,M_ALL,LogHAR,441,1.0766178270429184e-08,0.7956498989167645
AAPL,M_ALL,HARQ,441,1.3984056433507255e-08,1.033459859969682
AAPL,M_ALL,Lasso,441,1.3258020632886882e-08,0.979803836739953
AAPL,M_ALL,ElasticNet,441,1.4135264459884e-08,1.044634544976757
AAPL,M_ALL,RF,441,1.3450622758846e-08,0.994037658454705
AAPL,M_ALL,GB,441,1.9681794979418014e-08,1.4545382579151889
AAPL,M_ALL,NN_2_e10,441,1.2057782515811843e-08,0.8911029707000734
JPM,M_HAR,HAR,440,5.262923078185853e-09,1.0
JPM,M_HAR,LogHAR,440,3.323526694345153e-09,0.6314982463112084
JPM,M_HAR,HARQ,440,6.595733961729036e-09,1.2532453664518706
JPM,M_HAR,Lasso,440,5.507370059855362e-09,1.0464469987567766
JPM,M_HAR,ElasticNet,440,5.556040929940684e-09,1.055694876668399
JPM,M_HAR,RF,440,4.597259746777322e-09,0.8735183240341057
JPM,M_HAR,GB,440,8.41858943214239e-09,1.5996033586423433
JPM,M_HAR,NN_2_e10,440,5.448921364323221e-09,1.0353412511211322
JPM,M_ALL,HAR,440,5.262923078185853e-09,1.0
JPM,M_ALL,HAR-X,440,6.77163391649649e-09,1.286667849006582
JPM,M_ALL,LogHAR,440,2.8238141697488603e-09,0.536548630447063
JPM,M_ALL,HARQ,440,7.181897784924404e-09,1.3646214619196047
JPM,M_ALL,Lasso,440,6.316615044235035e-09,1.200210405965575
JPM,M_ALL,ElasticNet,440,7.1118085414761036e-09,1.3513039114999887
JPM,M_ALL,RF,440,3.312529514535683e-09,0.6294086889215039
JPM,M_ALL,GB,440,3.0507182195017746e-09,0.5796623234237669
JPM,M_ALL,NN_2_e10,440,4.212630821805243e-09,0.8004355676916621
AMZN,M_HAR,HAR,441,8.884214846520692e-09,1.0
AMZN,M_HAR,LogHAR,441,9.352357254300291e-09,1.052693728806315
AMZN,M_HAR,HARQ,441,9.205243797269198e-09,1.036134757690403
AMZN,M_HAR,Lasso,441,9.327964521088309e-09,1.049948102587974
AMZN,M_HAR,ElasticNet,441,9.266580161561729e-09,1.043038728986927
AMZN,M_HAR,RF,441,1.748489815054118e-08,1.9680859200955452
AMZN,M_HAR,GB,441,1.2853124843583206e-08,1.4467372824304054
AMZN,M_HAR,NN_2_e10,441,9.923236830017188e-09,1.1169514697073548
AMZN,M_ALL,HAR,441,8.884214846520692e-09,1.0
AMZN,M_ALL,HAR-X,441,1.0061521473772054e-08,1.132516676778976
AMZN,M_ALL,LogHAR,441,8.192438039522473e-09,0.9221341650388906
AMZN,M_ALL,HARQ,441,1.0251379765073174e-08,1.1538869716875322
AMZN,M_ALL,Lasso,441,8.799085967489783e-09,0.9904179625885289
AMZN,M_ALL,ElasticNet,441,9.408740838601282e-09,1.0590402192137451
AMZN,M_ALL,RF,441,1.1814815591190867e-08,1.3298660371566633
AMZN,M_ALL,GB,441,1.172088786372565e-08,1.3192936085191456
AMZN,M_ALL,NN_2_e10,441,9.595125295784318e-09,1.0800195021782977
