ticker,regime,model,n_days,vix_lo,vix_hi,mse,rel_mse_to_HAR
AAPL,low,HAR-X,142,11.86,13.86,6.104895763903498e-09,0.9676328926238575
AAPL,low,LogHAR,142,11.86,13.86,5.121473340413109e-09,0.8117593247343516
AAPL,low,ElasticNet,142,11.86,13.86,5.659255867058128e-09,0.8969984642683827
AAPL,low,RF,142,11.86,13.86,1.0084298573496495e-08,1.5983727447814455
AAPL,low,NN_2_e10,142,11.86,13.86,5.768384601964778e-09,0.9142954923438605
AAPL,mid,HAR-X,141,13.88,16.87,4.75546012624067e-09,0.7992809507407451
AAPL,mid,LogHAR,141,13.88,16.87,3.6384989389595173e-09,0.6115460573737916
AAPL,mid,ElasticNet,141,13.88,16.87,6.021564541615913e-09,1.0120833113943657
AAPL,mid,RF,141,13.88,16.87,7.222945642226151e-09,1.214007205782439
AAPL,mid,NN_2_e10,141,13.88,16.87,6.01059492842672e-09,1.0102395775334223
AAPL,high,HAR-X,141,16.87,38.57,1.294466305099069e-08,1.237306900451468
AAPL,high,LogHAR,141,16.87,38.57,7.380770206307294e-09,0.7054859497645791
AAPL,high,ElasticNet,141,16.87,38.57,1.3195477502105913e-08,1.2612808308562509
AAPL,high,RF,141,16.87,38.57,1.3521481437100591e-08,1.29244169744307
AAPL,high,NN_2_e10,141,16.87,38.57,1.0621295810754775e-08,1.0152294074102899
JPM,low,HAR-X,141,11.86,13.86,1.7972720786551895e-09,0.4294280639488428
JPM,low,LogHAR,141,11.86,13.86,1.0959056714171723e-09,0.26184830685144195
JPM,low,ElasticNet,141,11.86,13.86,2.715476589428649e-09,0.648817654458466
JPM,low,RF,141,11.86,13.86,2.8681312503245012e-08,6.85291929143868
JPM,low,NN_2_e10,141,11.86,13.86,6.316139514705356e-09,1.509135759489574
JPM,mid,HAR-X,141,13.88,16.87,2.6593543572582738e-09,0.68144070890425
JPM,mid,LogHAR,141,13.88,16.87,1.2985157552903927e-09,0.3327354605426455
JPM,mid,ElasticNet,141,13.88,16.87,4.19090530081708e-09,1.073889785069366
JPM,mid,RF,141,13.88,16.87,1.5288059344171708e-08,3.9174568702469594
JPM,mid,NN_2_e10,141,13.88,16.87,6.731984537984916e-09,1.7250233325905588
JPM,high,HAR-X,141,16.87,38.57,1.919390951817143e-08,3.2294834225412825
JPM,high,LogHAR,141,16.87,38.57,4.9865821900338304e-09,0.8390205498576335
JPM,high,ElasticNet,141,16.87,38.57,1.7173853544223114e-08,2.889597623126871
JPM,high,RF,141,16.87,38.57,9.302058762794836e-09,1.565123798333542
JPM,high,NN_2_e10,141,16.87,38.57,8.068773999552332e-09,1.357616688101845
AMZN,low,HAR-X,142,11.86,13.86,4.895219419131443e-09,1.024162680062188
AMZN,low,LogHAR,142,11.86,13.86,4.043692055086676e-09,0.8460087562772729
AMZN,low,ElasticNet,142,11.86,13.86,5.356045012472149e-09,1.120575186695201
AMZN,low,RF,142,11.86,13.86,9.61123490132587e-09,2.0108328661998285
AMZN,low,NN_2_e10,142,11.86,13.86,3.9259903645519476e-09,0.8213835722957781
AMZN,mid,HAR-X,141,13.88,16.87,4.274063406870423e-09,0.9103452478947662
AMZN,mid,LogHAR,141,13.88,16.87,3.7851344638503894e-09,0.8062068443509575
AMZN,mid,ElasticNet,141,13.88,16.87,4.5104190529365465e-09,0.9606873272526723
AMZN,mid,RF,141,13.88,16.87,5.676639917374189e-09,1.2090841152436842
AMZN,mid,NN_2_e10,141,13.88,16.87,3.076830144130908e-09,0.655343038614368
AMZN,high,HAR-X,141,16.87,38.57,8.653354962044818e-09,1.47062746734576
AMZN,high,LogHAR,141,16.87,38.57,9.91306406578648e-09,1.6847135434345917
AMZN,high,ElasticNet,141,16.87,38.57,8.097093511013825e-09,1.3760914899705203
AMZN,high,RF,141,16.87,38.57,2.4978405563828676e-08,4.245050558285229
AMZN,high,NN_2_e10,141,16.87,38.57,8.431031233279567e-09,1.432843811919744
