model,AAPL,AMZN,JPM
HAR,1.0,1.0,1.0
HAR-X,1.0191109842131256,1.132516676778976,1.286667849006582
LogHAR,0.7956498989167645,0.9221341650388906,0.536548630447063
HARQ,1.033459859969682,1.1538869716875322,1.3646214619196047
Lasso,0.979803836739953,0.9904179625885289,1.200210405965575
ElasticNet,1.044634544976757,1.0590402192137451,1.3513039114999887
RF,0.994037658454705,1.3298660371566633,0.6294086889215039
GB,1.4545382579151889,1.3192936085191456,0.5796623234237669
NN_2_e10,0.8911029707000734,1.0800195021782977,0.8004355676916621
